severity,lng,lat
property,149.128203,-35.25651
property,149.131437,-35.264851
injury,149.127367,-35.34693
property,149.133993,-35.18666
property,149.056286,-35.244011
property,149.145377,-35.311276
property,149.129861,-35.274609
property,149.143848,-35.276403
property,149.133734,-35.275698
property,149.135632,-35.279346
property,149.130651,-35.270338
injury,149.06394,-35.4123
property,149.131837,-35.262375
injury,149.132598,-35.266347
property,149.13792,-35.248637
property,149.118663,-35.277657
injury,149.199924,-35.344036
injury,149.056862,-35.373888
property,149.13681,-35.264574
injury,149.054751,-35.243632
injury,149.077339,-35.393729
property,149.134449,-35.278568
property,149.128302,-35.275575
injury,149.096127,-35.314223
property,149.114383,-35.319483
injury,149.034036,-35.337321
property,149.086319,-35.35489
property,149.138191,-35.415981
injury,149.114711,-35.152756
injury,149.13326,-35.253564
injury,149.120051,-35.174757
property,149.12583,-35.279084
injury,149.132579,-35.257777
injury,149.144049,-35.313798
injury,149.125861,-35.29936
property,149.062929,-35.320328
property,149.130211,-35.27306
injury,149.150908,-35.295388
property,149.074254,-35.414883
property,149.1326,-35.266393
property,149.129857,-35.274631
injury,149.137676,-35.320058
injury,149.108042,-35.314132
property,149.100871,-35.166593
injury,149.125572,-35.269785
property,149.112921,-35.411601
property,149.074036,-35.242999
injury,149.114609,-35.268313
injury,149.033959,-35.316172
injury,149.129351,-35.277765
property,149.092079,-35.258724
injury,149.188811,-35.308083
